視角写真,視角三次元,言語映像,言語抽象,聴覚言語,聴覚音
28,30,27,21,14,8
33,25,12,12,14,16
18,32,35,18,19,11
23,33,26,17,20,11
23,25,15,17,13,12
19,25,33,24,16,8
22,31,23,22,14,12
20,21,29,26,18,13
19,20,10,12,11,15
21,21,29,19,16,9
22,26,13,20,8,11
17,12,12,28,22,17
23,17,32,33,18,11
22,32,22,27,18,13
14,29,23,18,23,16
28,27,19,24,17,10
15,22,18,23,11,11
20,30,31,15,20,15
23,31,20,19,23,19
19,24,33,25,25,14
34,38,15,19,12,8
20,21,25,17,19,15
19,21,30,22,24,7
11,9,10,15,16,26
19,29,33,21,19,9
30,29,17,20,12,12
25,26,24,18,15,7
24,36,28,9,14,10
25,22,16,4,13,11
18,29,36,26,18,12
14,33,27,25,22,16
21,27,22,25,24,12
23,20,19,21,15,17
29,28,21,12,13,10
15,22,22,17,9,20
27,27,23,13,15,9
26,24,28,17,25,13
16,9,19,36,15,13
18,20,33,23,15,13
22,29,25,17,22,25
21,24,20,16,24,13
20,28,29,18,26,17
18,19,18,18,11,27
14,28,29,26,18,11
20,21,11,20,17,17
24,30,27,25,22,9
20,29,27,28,15,10
14,30,23,18,28,24
19,23,19,19,22,16
25,17,27,28,15,6
18,21,17,16,20,21
15,25,26,28,23,16
23,32,22,21,18,10
18,22,11,24,12,12
18,20,16,22,18,17
21,18,15,17,10,12
15,19,18,30,18,19
14,15,27,22,27,12
22,20,14,36,8,9
19,28,28,15,19,17
28,29,25,23,24,9
19,25,16,22,18,15
17,16,22,20,28,23
26,30,21,15,12,12
25,28,15,19,8,12
23,28,31,18,19,15
14,11,20,20,21,12
31,29,20,17,17,13
30,24,22,5,11,13
13,15,18,26,16,11
22,20,19,25,14,18
10,18,38,25,18,16
23,22,21,22,11,7
20,24,24,17,29,22
25,29,26,15,12,13
19,17,32,30,20,19
27,23,33,23,26,9
15,17,33,21,23,18
19,17,8,27,13,19
33,32,13,24,1,1
25,31,25,22,15,14
24,33,30,17,21,12
17,17,19,26,16,14
29,27,36,20,18,7
22,22,23,26,26,11
20,23,14,22,16,17
28,22,19,21,18,8
15,14,10,25,21,15
25,23,25,18,18,13
26,29,18,17,21,14
14,34,28,9,21,29
30,18,23,34,19,16
16,17,18,9,17,20
24,29,22,29,13,3
24,24,10,17,16,16
31,19,26,15,14,8
15,24,32,26,18,17
21,23,31,17,17,12
20,25,28,19,15,4
17,25,34,21,22,14
24,30,18,16,8,16
18,25,29,27,14,13
16,14,22,22,16,16
17,31,17,25,18,14
22,31,16,18,15,10
21,19,16,17,17,11
26,30,25,10,13,14
26,31,30,22,23,16
20,21,24,28,22,14
30,27,19,23,12,8
15,23,13,28,22,14
19,33,32,23,13,6
24,33,27,21,25,27
30,29,29,25,22,6
22,27,27,24,16,14
34,25,16,12,8,9
19,25,30,12,15,19
22,18,18,26,17,9
16,19,21,35,19,4
18,29,28,25,20,8
11,22,33,22,26,22
17,14,25,18,20,15
17,23,23,15,24,18
20,23,31,20,24,17
10,18,22,25,21,16
29,23,18,25,22,19
21,18,15,12,12,20
25,27,31,24,16,9
26,25,12,20,10,13
25,23,36,23,21,15
17,27,35,19,21,6
20,27,24,17,13,12
17,23,22,16,19,21
21,31,37,16,22,7
22,25,18,24,22,13
11,8,22,33,31,21
20,22,10,18,18,12
16,28,25,24,21,17
29,34,25,17,18,8
17,22,21,16,23,9
21,24,14,22,27,18
16,13,19,19,15,16
23,27,32,22,15,10
24,30,23,21,16,12
18,17,17,11,24,25
25,12,6,13,13,21
21,14,14,14,22,17
19,14,18,17,21,20
21,26,17,24,11,14
19,35,27,17,11,11
22,10,12,20,33,14
23,25,23,13,30,15
19,19,26,24,21,19
16,17,36,23,15,16
13,20,31,32,20,6
21,26,20,18,15,12
16,26,27,21,20,15
26,22,26,20,13,9
22,25,29,32,15,11
21,20,31,19,16,10
18,27,27,22,16,14
21,31,33,24,14,11
28,24,19,24,24,15
28,25,23,15,15,12
21,24,28,13,12,11
21,22,12,27,16,15
21,22,24,15,8,8
24,21,23,17,16,14
22,9,12,20,15,15
26,34,30,27,16,9
15,25,28,19,21,16
20,16,30,21,26,10
20,23,26,17,15,16
18,32,17,23,12,14
13,10,11,19,21,25
27,27,25,20,11,13
19,24,31,18,19,14
25,19,31,25,16,13
33,28,18,13,21,17
28,29,25,19,20,8
20,30,29,19,14,9
20,28,20,22,11,12
24,34,14,13,18,14
22,28,30,29,18,8
20,20,21,25,9,8
11,10,27,14,24,19
17,12,23,21,25,14
24,24,25,24,19,8
15,19,5,21,20,14
15,10,19,24,27,22
30,24,14,25,22,11
21,24,28,15,13,10
28,23,27,30,17,10
21,22,28,22,26,13
29,19,11,20,15,10
19,22,22,18,21,18
17,20,21,27,16,14
20,25,29,22,19,24
24,15,30,24,24,9
19,24,14,22,16,11
14,35,32,15,27,14
24,26,22,22,17,13
26,29,24,25,8,10
23,22,22,18,21,12
22,18,16,21,16,19
21,22,23,18,13,15
23,17,26,16,20,18
24,22,14,27,17,14
20,24,26,20,17,14
14,16,24,32,11,17
18,19,11,20,20,13
8,7,29,32,30,14
20,15,12,15,11,8
23,27,16,13,19,11
30,26,17,17,6,9
13,23,29,23,22,7
23,14,23,36,12,5
23,34,27,10,21,14
20,23,14,19,22,25
20,23,24,17,24,9
21,24,24,22,23,11
23,36,28,22,15,11
37,27,16,7,9,6
23,29,32,25,14,8
19,29,26,17,21,25
16,22,14,18,12,16
19,22,23,31,15,9
28,35,23,24,17,6
21,24,7,10,14,12
20,19,8,21,19,15
15,19,23,16,17,15
30,35,16,11,18,18
14,24,29,18,24,17
21,26,36,13,19,13
26,15,23,30,18,8
18,21,32,21,14,7
22,25,23,20,20,13
23,12,19,22,20,19
23,26,23,22,13,10
23,30,19,20,11,5
19,13,21,25,19,19
28,17,23,19,8,13
26,21,16,28,18,15
27,19,15,17,13,15
25,19,15,20,15,11
23,29,20,24,12,13
21,34,25,24,24,9
16,11,26,25,29,18
23,26,19,21,19,11
21,17,27,23,11,17
24,22,22,17,17,15
25,25,17,35,20,13
32,27,18,16,10,8
28,25,14,12,6,11
21,30,26,21,20,8
34,31,20,27,22,21
18,24,22,14,23,21
20,23,25,19,15,14
17,16,34,27,20,7
27,25,31,10,15,19
23,29,22,12,11,11
21,20,19,28,20,11
18,29,21,21,25,18
27,18,17,23,13,14
28,37,19,19,19,18
28,26,16,12,15,23
16,20,28,26,25,13
20,31,34,15,23,19
20,23,27,16,18,12
33,28,11,22,8,8
19,25,22,21,19,16
21,16,17,27,29,13
19,22,22,30,34,20
22,19,25,22,20,10
30,24,17,10,13,14
16,19,12,27,12,20
27,34,22,14,11,11
19,34,31,15,26,17
22,20,23,21,24,18
26,30,25,21,13,10
22,14,29,23,23,12
22,20,16,22,19,18
19,22,26,21,30,16
23,29,27,19,23,15
21,28,16,13,18,18
16,20,31,15,24,13
21,23,19,24,10,7
15,20,14,16,29,22
19,17,27,22,23,22
20,23,16,29,18,17
21,24,27,21,16,10
14,29,30,22,22,13
13,25,31,19,20,18
27,27,30,23,23,6
22,19,12,22,16,17
21,21,16,25,14,7
17,20,28,21,18,17
12,21,22,14,21,19
14,23,32,18,20,19
21,16,24,33,28,15
20,27,23,15,20,5
25,24,12,22,14,12
20,26,23,22,17,16
20,29,21,19,8,10
18,19,20,25,23,19
26,39,11,4,17,14
18,23,36,28,23,14
24,26,29,18,18,12
11,24,30,28,27,17
23,30,27,25,17,12
27,17,14,21,12,14
19,22,29,25,16,6
26,24,25,8,19,12
26,27,35,18,22,13
20,18,15,21,28,26
19,22,31,12,17,13
24,19,31,27,19,14
14,18,27,25,30,19
19,22,33,21,25,15
14,26,26,17,21,20
23,25,23,21,18,17
22,25,29,12,18,13
20,25,25,25,21,11
15,22,28,25,28,18
15,20,26,18,18,14
20,16,23,29,17,9
20,19,14,19,11,15
29,32,22,14,18,8
20,20,17,27,16,8
20,33,24,26,19,8
21,11,8,20,21,26
23,23,21,17,19,19
28,20,21,19,11,20
19,32,35,22,16,17
24,27,24,22,21,9
15,19,32,30,25,15
20,20,21,19,20,20
20,23,27,16,26,21
26,23,21,18,10,18
25,24,27,26,7,7
20,14,24,24,28,18
9,6,19,30,26,15
23,11,16,22,21,18
29,26,15,17,19,9
18,19,28,27,32,15
26,31,28,22,11,18
23,22,26,21,11,11
4,20,30,26,26,16
31,25,21,19,15,19
19,27,31,22,25,18
14,27,25,17,22,22
19,25,35,35,20,18
18,15,29,21,28,12
19,18,26,19,25,16
19,21,15,22,14,12
24,32,25,17,17,13
22,23,24,15,16,18
29,38,19,21,8,12
16,16,15,20,17,14
26,24,22,20,7,4
23,28,21,25,7,7
23,21,24,30,13,5
15,22,22,31,16,5
14,13,22,23,21,12
12,15,19,27,11,26
17,16,27,20,34,21
24,30,20,13,16,20
17,25,11,11,18,28
20,13,26,22,17,8
28,26,20,24,15,15
12,18,25,25,23,14
24,29,33,28,19,6
26,40,22,6,10,10
17,19,26,35,14,13
32,34,23,15,14,19
29,24,24,22,15,13
17,18,27,29,15,13
29,36,13,10,15,14
26,38,22,32,16,5
22,27,32,20,13,11
29,22,14,19,10,11
24,23,28,23,18,26
25,26,26,20,16,14
14,20,17,31,24,33
22,21,31,20,15,19
26,34,25,13,10,8
23,25,31,24,11,17
23,25,26,20,12,11
18,26,19,21,7,11
14,15,24,23,13,10
17,19,21,26,22,11
19,17,10,20,13,13
22,35,15,23,8,15
19,28,22,15,24,15
31,29,22,11,11,19
18,38,28,19,22,23
26,35,23,20,10,15
20,16,30,33,16,9
25,30,33,20,10,7
20,28,23,19,15,10
18,17,36,25,24,15
27,35,22,21,9,16
23,26,32,22,11,11
27,33,26,20,15,18
24,21,19,26,18,20
15,19,33,19,16,8
29,28,25,19,8,19
22,20,14,32,19,17
19,23,30,22,16,8
17,12,21,32,29,15
18,28,33,20,18,6
21,42,29,25,19,13
19,20,24,26,15,12
32,36,19,14,15,13
19,21,26,26,24,21
21,30,31,21,11,15
18,22,22,24,22,14
10,22,29,22,22,11
20,29,29,22,21,26
31,20,21,14,20,12
18,18,20,32,22,17
23,25,35,17,20,4
18,20,20,26,18,19
24,33,34,13,16,4
12,18,34,25,27,17
14,17,11,26,19,19
13,21,37,29,18,12
23,27,32,20,14,9
21,20,20,24,17,17
22,27,31,22,26,18
22,18,27,13,15,10
24,34,26,9,11,7
22,20,19,21,15,13
15,20,22,30,21,18
30,30,7,20,10,11
27,40,26,11,12,11
22,23,33,27,12,8
25,26,26,31,14,11
22,30,21,22,23,16
22,30,29,19,17,18
21,26,24,25,13,10
26,26,18,17,12,9
18,27,30,26,13,15
32,39,15,20,7,21
22,32,37,21,14,9
20,27,32,21,21,13
26,25,12,19,7,13
17,21,23,29,16,16
14,21,32,25,18,17
17,21,15,21,15,13
16,29,16,11,17,15
17,14,22,30,22,12
27,26,19,17,14,17
18,36,23,14,24,19
20,26,29,20,22,12
25,33,33,16,11,14
26,27,23,24,18,22
26,26,16,22,22,14
16,16,21,24,19,9
27,33,22,8,13,12
30,33,16,17,8,5
19,32,23,19,9,13
28,24,15,18,9,10
13,20,20,17,14,12
23,32,19,11,11,15
32,41,34,12,14,10
26,22,23,29,26,11
24,26,27,29,15,6
20,21,26,25,13,12
19,16,27,16,27,27
24,31,16,22,13,16
22,21,13,17,7,18
24,23,23,23,17,14
23,20,10,16,15,11
15,13,25,14,23,18
14,26,33,18,17,19
26,29,28,28,7,8
19,26,23,22,22,14
16,24,17,27,10,8
27,26,20,20,25,12
25,13,25,27,18,14
14,13,20,24,22,12
18,31,38,22,14,16
22,22,20,34,16,14
18,20,20,25,14,12
19,23,21,12,9,7
18,21,22,30,15,10
28,31,18,18,19,9
17,18,21,25,18,8
24,37,27,22,13,11
23,33,22,21,28,17
23,24,27,31,19,12
27,20,17,25,19,14
24,36,30,9,13,13
18,26,25,19,17,23
19,19,21,31,12,15
22,14,35,23,18,8
20,19,21,28,21,10
25,25,12,17,10,13
27,28,29,25,12,5
26,23,18,28,16,9
23,32,28,21,18,10
23,32,21,18,13,8
20,18,20,27,21,16
23,29,25,17,19,14
15,10,11,14,21,22
14,28,24,24,20,12
21,25,26,19,14,21
22,30,30,19,16,12
22,26,20,30,18,5
16,17,33,28,28,16
14,26,29,21,20,16
22,22,31,20,24,18
22,39,24,15,10,8
24,25,23,21,17,11
15,21,34,24,19,20
25,23,24,18,10,7
20,21,29,27,23,13
16,18,25,25,19,15
25,31,16,24,7,9
20,20,26,33,21,9
27,19,30,25,14,8
17,18,18,19,21,9
10,14,25,30,33,21
29,28,16,16,15,11
33,21,16,24,12,14
21,17,33,26,14,10
34,25,18,21,9,8
25,24,23,17,17,11
21,26,31,20,17,4
24,21,24,23,20,15
16,22,32,22,20,11
26,28,20,22,21,14
20,21,23,22,14,18
26,25,27,24,17,18
18,27,22,17,19,15
18,26,33,23,16,12
16,21,31,26,26,13
27,34,16,20,4,8
39,39,18,13,16,14
15,20,25,33,17,18
20,20,18,8,19,17
21,28,33,26,14,4
18,29,31,22,26,21
20,30,28,19,13,10
22,26,18,26,12,17
15,16,27,19,16,20
20,29,27,25,16,14
13,17,36,20,26,17
28,22,21,24,22,24
16,25,25,25,17,16
23,28,25,17,21,15
28,29,29,23,17,5
14,13,14,14,19,18
28,31,16,24,18,13
25,31,29,19,16,13
24,31,25,17,19,22
35,28,28,20,26,7
14,17,35,26,31,23
26,18,16,14,7,14
22,31,22,23,21,8
21,36,21,16,12,3
22,36,31,19,18,15
22,18,17,12,16,9
17,22,27,24,14,10
30,35,26,8,13,17
20,25,36,18,19,17
26,32,25,23,17,12
18,32,34,17,18,12
17,26,34,25,19,7
18,19,31,23,21,20
22,29,27,19,16,18
18,25,27,13,19,19
23,30,28,30,12,12
21,22,18,19,14,17
23,36,25,24,10,11
20,20,24,23,13,12
21,28,24,20,15,17
17,23,18,20,15,17
24,28,23,21,27,18
22,33,31,22,18,18
16,22,26,31,21,15
25,24,19,17,18,18
18,26,35,21,21,6
20,21,30,20,17,15
28,36,15,12,22,23
12,21,30,31,19,10
16,16,25,23,20,20
21,21,23,24,18,19
21,19,21,20,16,11
26,31,29,20,16,9
28,25,27,23,7,7
17,22,18,15,16,8
17,15,26,21,24,19
25,20,40,23,23,8
20,23,20,16,23,22
22,26,20,26,10,7
18,31,21,22,17,8
28,30,20,14,11,15
32,30,19,14,3,13
24,22,28,29,31,12
23,28,23,27,13,12
14,21,30,25,19,17
18,27,31,24,16,9
19,22,22,25,23,23
15,29,34,26,16,11
22,27,25,23,12,11
13,15,33,29,23,16
18,19,22,23,10,14
14,16,31,27,18,8
25,30,21,17,13,14
18,23,28,20,15,15
21,24,24,21,18,18
18,23,30,24,23,11
22,29,19,8,10,11
24,29,21,12,16,10
18,24,27,32,27,15
20,23,25,30,12,12
21,22,28,35,17,8
18,12,28,27,21,25
20,22,23,27,16,8
18,28,33,21,21,11
23,23,20,29,16,6
23,28,14,12,7,8
20,25,29,23,17,11
20,27,22,30,20,25
20,21,28,20,17,16
23,26,30,25,14,14
19,28,25,21,16,14
25,34,32,27,6,6
21,31,23,17,15,14
19,13,26,25,19,19
16,17,24,31,19,13
19,20,22,20,16,10
21,27,32,15,15,11
29,37,34,22,12,5
18,26,28,21,27,23
12,11,30,24,17,24
14,12,10,19,14,18
20,24,23,23,26,16
19,34,27,14,13,12
18,23,20,26,24,9
19,11,24,20,15,20
8,20,24,24,22,13
17,17,35,29,18,12
26,24,23,21,10,10
19,27,16,15,20,12
22,28,22,38,13,5
33,27,17,16,27,15
26,34,21,20,26,23
14,18,31,22,22,11
21,25,21,16,15,14
20,15,34,23,29,21
17,20,18,16,27,14
26,31,20,20,14,20
15,17,17,27,25,20
25,32,28,20,12,16
13,14,31,20,24,21
24,25,20,22,14,10
16,22,27,30,16,5
25,26,29,24,24,9
12,18,26,36,26,18
23,24,25,25,19,16
18,22,27,24,17,7
16,26,29,16,29,18
16,22,24,31,25,9
22,20,21,25,19,13
12,17,35,33,15,9
19,19,19,28,20,14
24,24,30,16,17,20
19,24,24,23,13,13
15,25,37,20,15,13
10,10,35,31,28,24
24,19,15,35,15,10
23,30,29,20,19,16
21,23,26,28,21,12
27,21,24,21,14,18
19,18,28,29,16,13
16,30,32,24,21,11
23,30,31,17,4,7
26,18,17,15,17,11
20,25,17,13,14,18
20,25,23,15,18,20
22,28,25,30,16,8
19,20,22,20,11,11
18,18,29,28,27,14
17,24,30,17,16,14
14,18,47,23,15,10
26,33,23,17,8,9
24,27,18,26,20,15
15,22,30,20,26,11
14,17,30,27,17,9
19,20,29,26,17,13
17,9,24,42,25,12
24,27,27,21,20,7
17,24,23,22,18,18
16,34,30,19,23,12
21,23,21,30,18,13
21,20,27,26,20,11
16,17,25,22,18,12
35,25,18,32,13,15
16,21,18,23,14,13
15,21,27,40,15,7
21,22,19,25,16,8
23,23,22,34,10,11
29,23,17,27,14,11
22,23,26,25,25,23
18,29,35,20,26,13
22,27,26,31,21,13
26,34,30,14,14,10
16,19,36,13,21,29
22,27,33,19,18,11
18,20,33,18,24,12
21,30,14,16,11,21
15,24,28,26,17,8
29,34,22,16,22,10
